,run,seed,beta,phi,phiT,phiU,deltaS,gH,gF
356,356,677835251.0,0.159637,0.086094,0.082183,0.179183,0.155102,0.041428,0.294076
365,365,927879926.0,0.151502,0.068022,0.074231,0.315435,0.466557,0.044748,0.280797
1042,1042,-1277197774.0,0.15253,0.066444,0.13723,0.223961,0.417237,0.040913,0.301356
1185,1185,1528176319.0,0.16322,0.09132,0.114825,0.179975,0.268645,0.056912,0.200038
2042,2042,-1365114832.0,0.158021,0.049299,0.136627,0.268232,0.837395,0.033365,0.422814
2046,2046,1728713630.0,0.202117,0.244875,0.032718,0.162487,0.18638,0.038926,0.414346
2477,2477,1768458194.0,0.16624,0.066246,0.107734,0.117422,0.1679,0.034289,0.162405
2614,2614,-987091024.0,0.184707,0.113476,0.057133,0.207878,0.058256,0.030683,0.374063
2797,2797,10068858.0,0.203907,0.146208,0.031428,0.216109,0.472552,0.021794,0.433976
2836,2836,-1119478959.0,0.138104,0.040202,0.118317,0.25782,0.741764,0.015347,0.105475
2950,2950,1258203048.0,0.203015,0.10748,0.054062,0.280649,0.353507,0.048983,0.28093
4011,4011,1959902297.0,0.179669,0.106352,0.094342,0.16001,0.157579,0.059796,0.446318
4234,4234,-1567767380.0,0.184135,0.114946,0.1031,0.159825,0.188091,0.056303,0.224754
4545,4545,-1909530707.0,0.158114,0.113041,0.057507,0.205905,0.64686,0.036259,0.372242
4791,4791,989090378.0,0.141773,0.052778,0.084347,0.329168,0.578833,0.03968,0.271317
4805,4805,-243903646.0,0.159618,0.226802,0.03082,0.405475,0.598142,0.041553,0.127097
5054,5054,1833967245.0,0.159548,0.096296,0.086818,0.285209,0.295591,0.056538,0.347161
5150,5150,291684310.0,0.215854,0.080656,0.069176,0.236989,0.191965,0.033007,0.474708
5215,5215,720898107.0,0.164742,0.061281,0.080466,0.310029,0.891456,0.027896,0.441854
6011,6011,1717309500.0,0.190845,0.057119,0.145935,0.254225,0.6368,0.028555,0.389667
6060,6060,-1008293666.0,0.171676,0.095746,0.065019,0.317357,0.928096,0.032426,0.341595
6067,6067,463289589.0,0.177428,0.203125,0.041806,0.220652,0.31292,0.041849,0.404695
7251,7251,-278089932.0,0.18949,0.058291,0.089889,0.317909,0.959491,0.030168,0.3247
7460,7460,448817695.0,0.160956,0.102053,0.081602,0.104665,0.317236,0.025312,0.211755
7528,7528,1479021474.0,0.169718,0.041535,0.137272,0.314018,0.714045,0.040436,0.402317
7843,7843,1078535891.0,0.166005,0.046146,0.147346,0.291396,0.536788,0.023632,0.161901
8113,8113,-769423803.0,0.169217,0.099426,0.034407,0.32451,0.922323,0.019421,0.480903
8839,8839,-756243411.0,0.189435,0.085288,0.072624,0.322947,0.500471,0.039636,0.248758
9314,9314,-2001075049.0,0.172711,0.130097,0.051307,0.213602,0.733824,0.035635,0.349888
9381,9381,1382746425.0,0.144886,0.063477,0.083816,0.208103,0.06099,0.026632,0.237367
9562,9562,-1482801325.0,0.194648,0.176938,0.05383,0.235633,0.0933,0.054218,0.445563
9628,9628,357203319.0,0.176159,0.183491,0.029001,0.412485,0.899876,0.027693,0.213299
9683,9683,992701418.0,0.205168,0.149432,0.044585,0.250924,0.184661,0.033676,0.275265
9796,9796,1056460216.0,0.152236,0.185295,0.016479,0.306313,0.872933,0.014277,0.388031
10728,10728,2021132436.0,0.189963,0.151599,0.054201,0.302049,0.235088,0.050718,0.414058
10977,10977,532340392.0,0.188974,0.113682,0.072039,0.224437,0.222467,0.059079,0.322328
11101,11101,-960565645.0,0.166471,0.05749,0.074288,0.353814,0.600366,0.033319,0.46641
11120,11120,1388377015.0,0.177228,0.081447,0.092383,0.103879,0.335836,0.041096,0.324658
11352,11352,602906774.0,0.195957,0.261475,0.024413,0.442928,0.797853,0.039113,0.13276
11774,11774,-205006161.0,0.17248,0.069802,0.120694,0.260525,0.516281,0.054997,0.484763
12210,12210,124904811.0,0.197393,0.184927,0.026383,0.279478,0.363764,0.033334,0.399762
13443,13443,-1253132029.0,0.169617,0.065717,0.078563,0.312325,0.384723,0.038821,0.442809
13617,13617,-1674175161.0,0.165827,0.069959,0.099458,0.287442,0.205092,0.04827,0.314164
13718,13718,581312686.0,0.149308,0.085685,0.082036,0.325624,0.404643,0.040235,0.424576
14162,14162,1369980678.0,0.156165,0.111417,0.095145,0.233908,0.248192,0.050131,0.270899
14981,14981,1467345708.0,0.17498,0.171047,0.045172,0.260735,0.719596,0.041119,0.348666
15063,15063,-542040811.0,0.201292,0.095464,0.054467,0.159714,0.170416,0.017638,0.329809
15413,15413,1133549589.0,0.158375,0.140386,0.062968,0.279133,0.456899,0.046006,0.401439
15685,15685,214640366.0,0.159998,0.196211,0.046647,0.294383,0.263174,0.053196,0.355012
15887,15887,1236566346.0,0.179986,0.163614,0.030447,0.335792,0.728624,0.022394,0.268184
15942,15942,1430332911.0,0.181357,0.09516,0.071928,0.150852,0.280668,0.036626,0.429461
16198,16198,-2042598260.0,0.184696,0.222862,0.030288,0.344168,0.426008,0.044634,0.11558
16391,16391,-415865785.0,0.205127,0.111245,0.05797,0.345757,0.610516,0.041919,0.362713
16847,16847,973714797.0,0.179359,0.093047,0.087381,0.339541,0.659603,0.053094,0.27916
16903,16903,2047442674.0,0.211497,0.080326,0.08504,0.287053,0.318431,0.049602,0.435963
16998,16998,1984042287.0,0.171854,0.086359,0.064174,0.35595,0.557934,0.039644,0.165341
17961,17961,-2054092871.0,0.17198,0.060875,0.1234,0.303767,0.659604,0.031243,0.266009
18050,18050,-1835642884.0,0.199429,0.113453,0.078252,0.280644,0.309947,0.05092,0.400458
18215,18215,615068992.0,0.220041,0.289577,0.021167,0.223921,0.572007,0.039362,0.430824
18725,18725,-2065346745.0,0.195451,0.134989,0.038253,0.340209,0.479007,0.031197,0.138379
19115,19115,-1845254161.0,0.178974,0.213048,0.022689,0.232892,0.424174,0.020181,0.347771
19255,19255,-843146250.0,0.178926,0.072253,0.067978,0.369712,0.680332,0.050397,0.367884
19523,19523,364162154.0,0.171232,0.118565,0.08268,0.273756,0.272078,0.044335,0.147659
19961,19961,1257188726.0,0.167573,0.053486,0.1453,0.101763,0.096105,0.02815,0.406423
20951,20951,-542224563.0,0.192189,0.076781,0.115939,0.175234,0.279899,0.032193,0.223073
21217,21217,1695990377.0,0.204707,0.248748,0.032324,0.34839,0.664325,0.040655,0.361771
21316,21316,-711903221.0,0.254579,0.202156,0.029972,0.208769,0.287793,0.02125,0.141825
21922,21922,-448541394.0,0.170115,0.071982,0.080065,0.148077,0.086098,0.017018,0.133817
22831,22831,-1073269831.0,0.17449,0.098842,0.069214,0.31125,0.403299,0.04703,0.278218
23115,23115,1271444248.0,0.177268,0.170874,0.02451,0.273849,0.812755,0.022693,0.489769
23475,23475,1347404977.0,0.206638,0.244947,0.023264,0.439602,0.805126,0.028755,0.124933
23527,23527,-1376412613.0,0.165917,0.126922,0.063418,0.30776,0.733259,0.038481,0.220624
24076,24076,1134658661.0,0.1817,0.162983,0.052732,0.211576,0.005068,0.055568,0.253793
24083,24083,542149712.0,0.171581,0.209952,0.036234,0.350373,0.880124,0.025633,0.10012
24115,24115,-1981107276.0,0.211027,0.259244,0.043879,0.100647,0.015831,0.051329,0.420878
